job_url,title,company,summary,day_rate
/rc/clk?jk=425c9a094459ff78&fccid=23b85188f37323e3,Front-end Developer,Adhunter,"<span class=""summary"">
            Summary We are looking for a highly motivated designer/front-end developer who takes great pride in their work to join the Adzuna product development team on...</span>","£35,000 - £45,000 a year"
/rc/clk?jk=88e760549b2107af&fccid=f7f10b2c369dbb7c,"DevOps Engineer - AWS, Docker, Terraform, Python,",,"<span class=""summary"">
            Working understanding of <b>Python</b>. DevOps Engineer - AWS, Docker, Terraform, <b>Python</b>. DevOps Engineer - AWS, Docker, Terraform, <b>Python</b>, London....</span>",£500 - £600 a day
/rc/clk?jk=76f4068b6bd29595&fccid=1a1be91d486c5b3a,"Data Scientist, London, 6 months , £600+",Lawrence Harvey,"<span class=""summary"">
            Experience of coding in R and <b>Python</b>. Data Scientist, London, 6 months....</span>",£550 - £750 a day
/rc/clk?jk=84f701fa4bc293e7&fccid=0fa716687f591f69,Scrum Master,Eaglecliff,"<span class=""summary"">
            <b>Python</b>, R, Tensorflow, Databricks, Alteryx). Advanced Analytics Group :....</span>",£550 - £600 a day
/company/Felcana/jobs/Data-Engineer-ce939ed76ce4849a?fccid=9f9c43f4153d662a,Data Engineer,Felcana,"<span class=""summary"">
            Strong programming knowledge of R, <b>Python</b>, and Apache Spark, along with a broad knowledge of different database languages....</span>","£50,000 - £60,000 a year"
/rc/clk?jk=b567ac62723fe482&fccid=72f4f9e648c7d8a6,"Senior Back-End Engineer (Node, Docker, Python, APIs)",,"<span class=""summary"">
            Senior Back-End Engineer (Node, Docker, <b>Python</b>, APIs). I am on the hunt for a strong, confident, hands-on Senior Back-End Engineer (Node, Docker, <b>Python</b>, APIs)...</span>",£300 - £400 a day
/rc/clk?jk=c4c41a2009bb56df&fccid=1934fe2dfada37e2,Senior Data Engineer,Xcede Digital,"<span class=""summary"">
            The ability to develop reliable, maintainable, efficient code in most of SQL, Linux shell, Java and <b>Python</b>. Senior Data Engineer....</span>",£600 - £700 a day
/pagead/clk?mo=r&ad=-6NYlbfkN0A_fhd_CRRWfjpL7HHwqJdZU9BC2W1X3EDhWaRf4nSrl5OcnHFmdtZkp3RySFY8syjAy9y8ON_KM14b9nxV__LK9Uqiv9wY14SNuepJyxQWTsA3gHpYXxQFdNweIfXlfHyrGcmUTohRcI8R1ReePEgtG-Twd5jv7e9-yUD1XZo4wTvS62fq0jZpFV2ANKyI0cG4ER00HlaNSCvm6E8Lmg3Lvso3pnAIhT9Yp9Lyea6YDsKlIsIWT9ryXV-g56A-vHvSoakagfmrPz7srYCxq8fazZuvMeYPxPRS03JpcSxImAazFa6MwrvrQgaqrLWPZjZmJ0OP0FtszXhHpULxRUNqmcRik5-Rv-WHEPZ2yaj0_WC3sI3bpej3Jsc1580LYwBeZId3qpzByLmZ9Hx6vpx2sWQjLHJCTAybdaEuMQRu4UAkaaUaImYBcofDofuLTbk66AolS7EAMnHknSsV1INS&p=4&sk=&fvj=0,DevOps Engineer - Blockchain,Oliverbernard,"<span class=""summary"">
                            DevOps Engineer - Blockchain, AWS, <b>Python</b>, Docker, Ansible. Solid Scripting experience with Bash, <b>Python</b>, JavaScript, and other tools....</span>",£550 - £650 a day
/pagead/clk?mo=r&ad=-6NYlbfkN0ArLFkL5VGeedMKIN52qqOAYz28NkwklTx2FApDKyvkweStTapgWZU5SOfSyzI07FL-SUJLJ24W1FXq_XNCJdIaZbrEl27OMcbaYTDqYBScS4AEDE18EUxskEUIaVFdYFecMFdCnJSQgPdGYU_VbrPWUS8d-BUbS4nnlp7VN9RzdHibjhzoev5J73f_tyWd7kLZX32K8IDrHZhL3CUsIcS2JDCbpP7dVNuBkRNGqFdoA26D2vzN0yJ9iiPMvixWcqZg28TqJ6vGA_2ulUMWM5o163gxUmM3pNm0u3PIczE9GhSkw9rDpEsChLa6gBmPHtVLO5UZs_sEERnj3s9tNRxHOZceDuiw8dMjVff71FfZ3851LZtv4ehbIZeG9pxhQih8WDIjwHQ-Rm3mVBfeb9HjFCSBkMQcR3E-CIKgDExm_BOvOzVv9WQ7&p=5&sk=&fvj=0,Data Scientist,,"<span class=""summary"">
                            You must have had previously worked in a coding environment with particular knowledge of <b>Python</b> and big data (Hadoop / Spark) with at least 3 years of...</span>",£600 a day
/pagead/clk?mo=r&ad=-6NYlbfkN0A_fhd_CRRWfjpL7HHwqJdZU9BC2W1X3EDhWaRf4nSrl5OcnHFmdtZkp3RySFY8syjGD5dQrnGPIrqu0Tf1T17P0UY8yzIf8aziZdFp63LP9Zn8wukFZfLVY1CNT7A_ZnUrdjXlBRYGfUfhgPN0zaYYUheLgpcLaPtX16rbatXO4ClYWbuxNJe7mYFNURgwfJBphjXOce2iuKpPZwXn6ntpL2qj0HUn14EY33gWVIlJR1oG3mCve8jHfTW7V-Q_xcIyyiMSQkF-ElpJcLHaI_HSY38E1nog_CpPmR2jYnXAzMHMAtypdu46Ii0ceC2qdBfayDG2tboh833hbWJsYlFLjaCBE3bNthxYLZVnHlvqohkFMzwt76VvidmG1ggSH88a4rPWl8GLl-tNiCTn0YLRpr-uZgm8_u0p2hv2nUMCpMIJccorH6Ui52_xrCU7D0qDZolXKG15HzYj0dWb5h-J&p=1&sk=&fvj=0,DevOps - AWS - Kubernetes,Oliverbernard,"<span class=""summary"">
                            DevOps - AWS - Kubernetes A large Publishing house based in Central London is seeking a DevOps Engineer with strong Kubernetes experience to join their...</span>",£500 - £550 a day
